City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,kendari,-3.945,122.4989,27.27,84,51,0.82,ID,1681259067
132,tlaxco,19.6167,-98.1167,14.39,65,54,3.74,MX,1681259067
133,kahului,20.8947,-156.47,28.01,66,40,11.32,US,1681259000
134,nikolskoye,59.7035,30.7861,7.11,84,100,1.4,RU,1681259068
135,berlevag,70.8578,29.0864,1.0,60,100,7.2,NO,1681259069
136,santander,43.4647,-3.8044,13.03,90,75,1.03,ES,1681259069
137,loanda,-8.8368,13.2343,28.0,78,75,2.06,AO,1681258873
138,sharlyk,52.9167,54.75,5.33,60,0,1.77,RU,1681259071
139,ulladulla,-35.35,150.4667,17.09,45,83,3.32,AU,1681259071
140,khromtau,50.2503,58.4347,5.73,45,25,2.0,KZ,1681259072
141,pisco,-13.7,-76.2167,24.03,78,0,7.2,PE,1681259073
142,jamestown,42.097,-79.2353,17.77,39,0,6.17,US,1681259015
143,lufilufi,-13.8745,-171.5986,33.88,72,12,6.5,WS,1681259074
144,paratinga,-12.6906,-43.1842,25.5,62,82,2.37,BR,1681259075
145,imbituba,-28.24,-48.6703,20.75,88,0,5.48,BR,1681259075
146,codrington,-38.2667,141.9667,16.93,80,93,7.01,AU,1681259077
147,eskil,38.4017,33.4131,7.1,80,98,1.85,TR,1681259078
148,wad madani,14.4012,33.5199,33.12,12,94,8.73,SD,1681259078
149,nata,8.3333,-80.5167,26.93,65,25,6.96,PA,1681259079
150,alofi,-19.0595,-169.9187,28.94,70,75,6.69,NU,1681259079
151,khatanga,71.9667,102.5,-15.38,82,100,5.98,RU,1681259080
152,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1681258819
153,ojinaga,29.5667,-104.4167,30.53,21,0,3.6,MX,1681259081
154,nolinsk,57.5596,49.9363,2.95,78,53,2.38,RU,1681259081
155,new norfolk,-42.7826,147.0587,14.84,71,36,1.34,AU,1681259082
156,cabo san lucas,22.8909,-109.9124,32.56,41,0,8.23,MX,1681259005
157,pacific grove,36.6177,-121.9166,20.77,68,0,9.83,US,1681258860
158,ulagan,50.6321,87.9563,-3.77,90,100,2.5,RU,1681259083
159,kichmengskiy gorodok,59.9816,45.7854,-0.36,96,93,1.53,RU,1681258871
160,new ulm,44.3125,-94.4605,26.21,31,0,5.66,US,1681258787
161,zhigansk,66.7697,123.3711,-19.36,89,18,3.21,RU,1681259084
162,horqueta,-23.3428,-57.0597,23.43,77,3,2.16,PY,1681259084
163,kulhudhuffushi,6.6221,73.07,28.44,72,9,3.88,MV,1681259085
164,lavrentiya,65.5833,-171.0,-16.4,72,16,1.21,RU,1681259085
165,chokurdakh,70.6333,147.9167,-19.19,84,53,1.2,RU,1681259086
166,bogande,12.9714,-0.1436,30.35,17,36,4.91,BF,1681259086
167,ola,59.5833,151.2833,-6.94,62,1,3.63,RU,1681259087
168,kutum,14.2,24.6667,25.39,18,100,8.64,SD,1681259087
169,mahebourg,-20.4081,57.7,26.25,94,75,0.51,MU,1681259088
170,bela,25.9333,81.9833,25.33,14,0,3.35,IN,1681259088
171,wajima,37.4,136.9,8.38,100,75,3.6,JP,1681259089
172,porto novo,6.4965,2.6036,27.6,77,82,3.84,BJ,1681259090
173,itarema,-2.9248,-39.9167,24.28,84,99,3.16,BR,1681259090
174,sao joao da barra,-21.6403,-41.0511,23.05,78,84,3.78,BR,1681259091
175,konevo,62.1215,39.3192,0.94,92,100,2.65,RU,1681259091
176,linxia,35.6003,103.2064,10.25,37,31,0.71,CN,1681259092
177,la ronge,55.1001,-105.2842,2.14,93,100,1.54,CA,1681259092
178,saldanha,-33.0117,17.9442,10.03,77,69,3.14,ZA,1681259093
179,fairbanks,64.8378,-147.7164,-8.28,74,100,0.0,US,1681258929
180,haines junction,60.7522,-137.5108,1.97,30,100,4.12,CA,1681259094
181,puerto escondido,15.85,-97.0667,29.46,70,40,1.54,MX,1681258580
182,esperance,-33.8667,121.9,17.79,73,2,5.92,AU,1681259095
183,cidreira,-30.1811,-50.2056,22.84,87,15,6.26,BR,1681259095
184,yellowknife,62.456,-114.3525,-6.71,73,100,3.09,CA,1681259096
185,burnie,-41.0667,145.9167,16.92,81,100,6.35,AU,1681259096
186,kodiak,57.79,-152.4072,5.73,81,100,4.12,US,1681259097
187,ilulissat,69.2167,-51.1,5.01,45,20,7.2,GL,1681259097
188,dawei,14.0833,98.2,24.28,89,36,0.9,MM,1681259098
189,stromness,58.965,-3.296,6.98,83,86,7.6,GB,1681259099
190,arraial do cabo,-22.9661,-42.0278,22.98,78,75,3.09,BR,1681259099
191,hailar,49.2,119.7,-3.28,47,15,7.89,CN,1681259100
192,pakxan,18.3778,103.6601,30.52,50,48,1.57,LA,1681259100
193,khandbari,27.3747,87.2039,17.32,33,0,1.94,NP,1681259101
194,lompoc,34.6391,-120.4579,18.85,79,75,11.18,US,1681258807
195,bengkulu,-3.8004,102.2655,24.64,87,100,1.44,ID,1681259102
196,nicoya,10.1483,-85.452,29.49,50,51,3.86,CR,1681259103
197,monopoli,40.9559,17.2896,11.51,71,100,4.76,IT,1681259104
198,namtsy,62.7161,129.6658,-8.83,85,99,1.58,RU,1681259105
199,lakhdenpokhya,61.5198,30.1992,0.28,99,100,1.33,RU,1681259105
200,harper,4.375,-7.7169,26.66,86,100,2.45,LR,1681259106
201,temerloh,3.4483,102.4176,24.99,98,94,0.25,MY,1681259107
202,kununurra,-15.7667,128.7333,25.99,94,98,2.06,AU,1681259107
203,sao jose da coroa grande,-8.8978,-35.1478,25.68,79,98,2.41,BR,1681259108
204,romny,50.751,33.4747,10.55,60,100,7.01,UA,1681259108
205,nanortalik,60.1432,-45.2371,-0.43,90,94,2.89,GL,1681259109
206,honningsvag,70.9821,25.9704,0.86,69,100,5.66,NO,1681259110
207,pevek,69.7008,170.3133,-24.79,94,97,1.42,RU,1681259113
208,yerofey pavlovich,53.9667,121.9667,-5.66,80,100,2.98,RU,1681259113
209,moron,-34.6534,-58.6198,25.55,66,63,2.23,AR,1681259114
210,manzil salim,35.8567,8.4765,11.61,47,7,2.31,TN,1681259114
211,khorinsk,52.1657,109.7726,-3.52,59,90,1.47,RU,1681259115
212,high level,58.5169,-117.136,6.06,52,75,5.66,CA,1681259104
213,noumea,-22.2763,166.4572,28.33,99,44,0.65,NC,1681258961
214,sinnamary,5.3833,-52.95,25.52,87,95,3.38,GF,1681259118
215,lasa,46.6166,10.7002,7.49,76,88,0.6,IT,1681259119
216,cochrane,51.1834,-114.4687,6.45,62,75,5.65,CA,1681259120
217,manzhouli,49.6,117.4333,-2.68,41,0,7.62,CN,1681259120
218,kichera,55.9375,110.0997,-6.94,73,94,1.24,RU,1681259121
219,raahe,64.6833,24.4833,-0.95,97,96,3.07,FI,1681259122
